ASV_id	S12K_1	S3M_1	SMS_1	S3S_1	STS_1	S3T_1	SKM_1	SLT_1	S3L_1	S12K_2	S3M_2	SMS_2	S3S_2	STS_2	S3T_2	SKM_2	SLT_2	S3L_2	S12K_3	S3M_3	SMS_3	S3S_3	STS_3	S3T_3	SKM_3	SLT_3	S3L_3	Microscopy class
ASV2_Ulnaria_acus_Bacillariophyceae	21314	24656	24326	2205	3991	20535	6537	7804	4009	68	166	43	76	792	1255	1857	1127	1636	896	370	209	725	2744	9935	8310	6430	5272	Bacillariophyceae
ASV5_Dinobryon_cylindricum_Chrysophyceae	40	0	42	695	0	0	56	27	14	11591	16944	7188	7586	2984	4287	6246	2483	4921	658	867	122	551	665	689	413	375	374	Chrysophyceae
ASV7_Cryptomonas_curvata_Cryptophyceae	2773	970	229	73	129	586	416	540	180	8039	9844	3647	2892	1531	4479	4133	3619	5682	41	36	49	73	71	184	78	119	279	Cryptophyceae
ASV8_Gyrodinium_helveticum_Dinophyceae	4028	1553	1406	3488	482	1506	1757	1062	448	4534	5319	1732	1064	832	1593	1565	1753	2107	1354	1151	664	1572	2347	1645	1145	1134	1836	Dinophyceae
ASV9_Aulacoseira_islandica_Coscinodiscophyceae	200	1099	1541	99	455	5713	495	978	201	1088	2239	511	251	912	1661	2928	3854	4735	708	85	126	1139	2896	5194	128	311	71	Coscinodiscophyceae
ASV11_Nannochloropsis_limnetica_Eustigmatoph.	1015	485	1281	12462	434	2367	801	529	272	1202	1513	575	483	401	768	555	385	358	1619	931	500	1223	2966	3488	571	855	780	Chlorophyceae
ASV12_Stephanodiscus_Mediophyceae	0	55	0	0	0	0	0	97	0	0	157	59	61	1716	2405	6139	11057	16501	0	0	0	0	0	62	29	0	0	Mediophyceae
ASV13_Cryptomonas_Cryptophyceae	563	432	241	55	430	989	1026	722	277	1143	1754	536	497	182	460	311	306	566	3508	1581	2293	6323	2349	2762	1175	1004	998	Cryptophyceae
ASV14_Cryptophyceae	2432	3179	6299	380	1021	3981	1593	1555	766	44	77	33	11	92	232	454	535	474	77	151	60	146	172	1016	782	1002	1826	Cryptophyceae
ASV16_Chrysophyceae	3955	2795	7073	373	507	1141	2042	760	839	225	276	108	102	57	138	128	220	226	303	44	134	183	432	313	650	1154	1695	Chrysophyceae
ASV18_Luciella_Dinophyceae	862	632	905	942	310	1569	720	855	330	964	912	279	306	467	1905	1092	1040	1517	780	378	169	534	493	846	337	493	825	Dinophyceae
ASV20_Plagioselmis_nannoplanctica_Cryptoph.	399	377	1369	480	384	1497	748	432	121	88	104	22	50	37	140	117	114	132	1077	402	791	1404	778	622	294	534	663	Cryptophyceae
ASV21_Chlorellales_Trebouxiophyceae	177	0	33	6932	0	90	33	32	0	76	111	32	16	0	46	27	23	20	631	515	149	340	727	354	120	109	225	Trebouxiophyceae
ASV22_Chrysophyceae	436	154	118	27	49	160	110	150	63	61	188	47	81	507	1240	1617	1450	1718	124	24	34	237	322	214	52	15	79	Chrysophyceae
ASV23_Gymnodinium_Dinophyceae	25	93	291	544	71	214	127	61	0	1125	902	314	451	194	408	173	198	301	253	411	195	418	878	804	229	168	203	Dinophyceae
ASV26_Chrysochromulina_parva_Prymnesiophyceae	54	230	578	612	96	725	180	244	119	243	362	83	216	90	275	136	148	175	802	439	676	802	419	158	89	77	122	Prymnesiophyceae
ASV28_Choricystis_minor_Trebouxiophyceae	320	0	55	1465	0	248	112	0	0	127	298	92	119	47	133	130	92	75	120	123	0	127	549	1236	492	468	806	Trebouxiophyceae
ASV29_Spumella_Chrysophyceae	192	66	258	206	53	325	213	144	36	387	621	146	108	128	377	258	293	366	503	235	457	520	439	370	95	111	152	Chrysophyceae
ASV30_Paraphysomonadales_Chrysophyceae	239	160	409	245	76	328	248	181	24	383	673	201	103	123	404	419	373	427	252	232	362	473	183	147	82	104	95	Chrysophyceae
ASV31_Ulnaria_acus_Bacillariophyceae	777	1222	1074	78	210	1049	341	324	211	0	0	0	0	0	43	79	45	64	71	0	0	0	99	373	295	183	129	Bacillariophyceae
ASV32_Nitzschia_Bacillariophyceae	0	0	0	28	0	0	0	0	0	54	96	17	9	17	93	80	79	139	2096	743	873	2150	95	4	0	0	45	Bacillariophyceae
ASV34_Chroomonas_Cryptophyceae	406	220	144	692	91	261	138	118	27	33	57	9	28	53	108	137	129	225	351	315	265	464	500	383	124	132	139	Cryptophyceae
ASV42_Chrysosphaerella_Chrysophyceae	27	0	0	670	0	0	42	0	0	374	428	192	120	96	168	239	140	236	300	162	252	310	137	130	49	58	163	Chrysophyceae
ASV46_Ochromonadales_Chrysophyceae	0	88	256	92	62	239	250	186	0	267	320	88	69	84	294	123	148	214	240	134	190	312	177	126	0	85	28	Chrysophyceae
ASV47_Cryptophyceae_Cryptophyceae	513	286	489	149	145	506	284	225	92	13	25	0	0	24	60	88	118	129	0	25	0	54	0	120	90	231	331	Cryptophyceae
ASV48_Cryptomonadales_Cryptophyceae	161	169	444	257	127	394	275	174	43	94	109	66	35	32	52	52	67	78	173	87	113	262	180	105	87	77	171	Cryptophyceae
ASV52_Stephanodiscus_Mediophyceae	596	137	52	135	24	186	112	0	42	182	487	145	47	0	98	259	281	330	9	0	0	25	0	41	0	54	11	Mediophyceae
ASV54_Fragilaria_vaucheriae_Bacillariophyceae	0	0	0	75	0	0	0	0	0	50	53	0	51	0	107	44	0	30	1441	215	257	616	92	0	0	0	0	Bacillariophyceae
ASV55_Chromulinospumella_sphaerica_Chrysophyceae	0	78	310	0	17	418	219	172	39	8	0	0	6	0	4	0	0	0	56	504	164	63	29	232	262	181	184	Chrysophyceae
ASV56_Pedinella_Dictyochophyceae	50	47	0	269	0	28	0	0	0	9	0	0	0	0	9	13	12	0	240	347	342	515	581	211	52	97	48	Trebouxiophyceae
ASV57_Chlamydomonadales_Chlorophyceae	542	39	0	576	0	30	72	34	14	169	238	77	57	31	113	118	68	88	30	24	18	55	104	120	33	57	145	Chlorophyceae
ASV59_Hydrurales_Chrysophyceae	105	25	103	56	19	50	122	43	38	9	16	0	0	0	25	131	433	565	359	104	53	162	128	57	11	28	69	Chrysophyceae
ASV60_Apocalathium_Dinophyceae	95	246	270	0	0	308	118	254	0	512	247	125	72	39	25	18	31	52	24	49	0	26	57	32	23	0	24	Dinophyceae
